title,abs_journal,status
A Correlation Between Black Hole Mass and Dark Matter Halo Concentration in Cosmological Simulations,arXiv e-prints,success
CoBiTS: Single-detector discrimination of binary black hole signals from glitches using deep learning,arXiv e-prints,success
"Bridging stellar evolution and planet formation: from birth, to survivors of the fittest, to the second generation of planets",arXiv e-prints,success
Diffusive or Ballistic? Distributions and Spectra of PeV Cosmic Rays around Microquasars,arXiv e-prints,success
Pulsational Instability of Quasi-Stars: Interpreting the Variability of Little Red Dots,arXiv e-prints,success
First-Principles Formalism for Simulating Self-Interacting Dark Matter,arXiv e-prints,success
The Clustering of Little Red Dots from Ultra-Strongly Self-Interacting Dark Matter,arXiv e-prints,success
Time-resolved X-ray spectra of Proxima Centauri as seen by XMM-Newton,arXiv e-prints,success
Widespread Shocks in an Odd Radio Circle Host Galaxy,arXiv e-prints,success
Monitoring and Evaluating Astronomy-for-Development Initiatives,arXiv e-prints,success
Characterization of telecentric dual-etalon Fabry-Pérot systems from observational data. Properties of the CRISP2 instrument at the Swedish 1-m Solar Telescope,arXiv e-prints,success
Constrained Brownian-bridge prior for neutron-star equation-of-state inference,arXiv e-prints,success
Designing the Community Infrastructure for ESO's Next Transformational Facility. Equitable Governance and Sustainable Teams for 2040s Astronomy,arXiv e-prints,success
Precision Spectroscopy for 1.9 Million Galaxies from SDSS-IV: Improved Spectral Measurements and Catalogs for eBOSS,arXiv e-prints,success
A recurrent 70-100 minute quasi-periodic pulsation in the intermediate-aged mid-M dwarf GJ 3512,Monthly Notices of the Royal Astronomical Society,success
The rotation-magnetism relationship in solar-type stars. Constraining magnetic flux emergence rates,arXiv e-prints,success
The Impact of the MAST Data Archive,arXiv e-prints,success
Double Hot Jupiter Formation through Mirrored ZLK Migration in Binary Star Systems: The Case of WASP-94,arXiv e-prints,success
A Search for Radio Technosignatures from Interstellar Object 3I/ATLAS with the Allen Telescope Array,arXiv e-prints,success
Continuous Wide-Field Optical Monitoring for Very Early-Phase Transient Discovery,arXiv e-prints,success
Red noise-based false alarm thresholds for astrophysical periodograms via Whittle's approximation to the likelihood,arXiv e-prints,success
Unlocking the physics of dwarf galaxies in the 2040s: The case for a next-generation wide-field spectroscopic facility with fibres and IFUs,arXiv e-prints,success
Discovery of a Luminosity-dependent Continuum Lag in NGC 4151 from Photometric and Spectroscopic Continuum Reverberation Mapping,arXiv e-prints,success
Measurements of quasar proximity zones with the Lyman-$α$ forest of DESI Y1 quasars,arXiv e-prints,success
Robust and scalable simulation-based inference for gravitational wave signals with gaps,arXiv e-prints,success
On Lorentz Variability of Magnetically Dominated Relativistic Outflows,arXiv e-prints,success
The size of 3I/ATLAS from non-gravitational acceleration,arXiv e-prints,success
Standard Sirens in 2040s: Probing the Cosmic Expansion History with Gravitational Waves and Spectroscopic Galaxy Surveys,arXiv e-prints,success
Energy-Dependent Shifts of Medium-Scale Anisotropies in Very-High-Energy Cosmic Rays Observed by LHAASO-KM2A,arXiv e-prints,success
The evolution of obscured AGN across cosmic time -- A large quasar survey for the 2040s,arXiv e-prints,success
Unveiling Long-Period Variables in M33's Central Region: Insights into Stellar Evolution and Star Formation via Near-Infrared Photometry,arXiv e-prints,success
Imaging the LkCa 15 system in polarimetry and total intensity without self-subtraction artefacts,arXiv e-prints,success
Observed Low-Plasma-$β$ Temperature Anisotropy Constraint Driven by $α$-Particle Drift,arXiv e-prints,success
