title,abs_journal,status
Insights on Galaxy Evolution from Interpretable Sparse Feature Networks,The Astrophysical Journal,success
The late-time heating Green's function and improvements to distortion frequency hierarchy treatment,Monthly Notices of the Royal Astronomical Society,success
The Machine Learning to reconstruct GRB lightcurves,arXiv e-prints,success
Period Analysis of Eclipsing Cataclysmic Variable Stars,arXiv e-prints,success
Discovery of A Starburst in the Early Milky Way at [Fe/H] $< -2$,arXiv e-prints,success
Life in the Slow Lane: A Search for Long Term Variability in ASAS-SN,Monthly Notices of the Royal Astronomical Society,success
Learning to See: Applying Inverse Recurrent Inference Machines to See through Refractive Scattering,The Astrophysical Journal,success
Probing the Limits of Habitability: A Catalog of Rocky Exoplanets in the Habitable Zone,arXiv e-prints,success
The Environmental Quenching Mechanisms of Field Dwarf Galaxies,The Astrophysical Journal,success
The bright long-lived Type II SN 2021irp powered by aspherical circumstellar material interaction (II): Estimating the CSM mass and geometry with polarimetry and light curve modeling,Astronomy and Astrophysics,success
The bright long-lived Type II SN 2021irp powered by aspherical circumstellar material interaction (I): Revealing the energy source with photometry and spectroscopy,Astronomy and Astrophysics,success
High flow speeds and transition-region like temperatures in the solar chromosphere during flux emergence,Astronomy and Astrophysics,success
ELLIPSECT: A surface brightness analysis tool for GALFIT 3,arXiv e-prints,success
Evidence for the gravity-driven and magnetically-regularized gas flows feeding the massive protostellar cluster in Cep A,arXiv e-prints,success
A Large Systematic Search for Close Supermassive Binary and Rapidly Recoiling Black Holes -- IV. Ultraviolet spectroscopy,The Astrophysical Journal,success
REBELS-IFU: Evidence for metal-rich massive galaxies at z~6-8,arXiv e-prints,success
REBELS-IFU: Dust attenuation curves of 12 massive galaxies at $z\simeq7$,Monthly Notices of the Royal Astronomical Society,success
Stellar Stripping and Disruption in Disks around Supermassive Black Hole Binaries: Repeating nuclear transients prior to LISA events,The Astrophysical Journal,success
New Methods of Identifying AGN in the Early Universe using Spectroscopy and Photometry in the JWST Era,Monthly Notices of the Royal Astronomical Society,success
An Intermediate-mass Black Hole Lurking in A Galactic Halo Caught Alive during Outburst,arXiv e-prints,success
Mining the time axis with TRON. II. MeerKAT detects a stellar radio flare from a distant RS CVn candidate,Monthly Notices of the Royal Astronomical Society,success
"Chasing the Light: Shadowing, Collimation, and the Super-Eddington Growth of Infant Black Holes in JWST-Discovered AGNs",arXiv e-prints,success
Gravitational Wave Decoupling in Retrograde Circumbinary Disks,The Astrophysical Journal,success
GLIMPSE: An ultra-faint $\simeq$ 10$^{5}$ $M_{\odot}$ Pop III Galaxy Candidate and First Constraints on the Pop III UV Luminosity Function at $z\simeq6-7$,The Astrophysical Journal,success
Tracing the galaxy-halo connection with galaxy clustering in COSMOS-Web from z = 0.1 to z ~ 12,Astronomy and Astrophysics,success
Metallicity Scatter Originating from Sub-kiloparsec Starbursting Clumps in the Core of a Protocluster at z=7.88,The Astrophysical Journal,success
MIDIS: Quantifying the AGN component of X-ray-detected galaxies,arXiv e-prints,success
Modeling the Spectral Energy Distribution of Active Galactic Nuclei: Implications for Cosmological Simulations of Galaxy Formation,arXiv e-prints,success
Phenomenological gravitational waveforms for core-collapse supernovae,Physical Review D,success
Higher-order effects in the dynamics of hierarchical triple systems. III. Astrophysical implications of second-order and dotriacontapole terms,Physical Review D,success
Ultraviolet spectroscopy of the black hole X-ray binary MAXI J1820+070 across a state transition,Monthly Notices of the Royal Astronomical Society,success
CIBER 4th flight fluctuation analysis: Measurements of near-IR auto- and cross-power spectra on arcminute to sub-degree scales,The Astrophysical Journal,success
"CIBER 4th flight fluctuation analysis: Pseudo-power spectrum formalism, improved source masking and validation on mocks",The Astrophysical Journal,success
Multi-wavelength and Environmental Properties of Variability Selected Low Luminosity Active Galactic Nuclei,The Astrophysical Journal,success
The initial-to-final mass relation of white dwarfs in intermediate-separation binaries,The Astrophysical Journal,success
Observations of the First Galaxies in the Era of JWST,arXiv e-prints,success
"A Heliocentric-orbiting Objects Processing System (HOPS) for the Wide Field Survey Telescope: Architecture, Processing Workflow, and Preliminary Results",The Astronomical Journal,success
"Updated Mass, Eccentricity, and Tidal Heating Constraints for the Earth-sized Planet LP 791-18 d",The Astronomical Journal,success
