title,ads_bibcode,affiliations,total_citations,non_self_citations,status
A Correlation Between Black Hole Mass and Dark Matter Halo Concentration in Cosmological Simulations,2025arXiv251217964N,,0,0,success
CoBiTS: Single-detector discrimination of binary black hole signals from glitches using deep learning,2025arXiv251217975V,,0,0,success
"Bridging stellar evolution and planet formation: from birth, to survivors of the fittest, to the second generation of planets",2025arXiv251217976C,,0,0,success
Diffusive or Ballistic? Distributions and Spectra of PeV Cosmic Rays around Microquasars,2025arXiv251217994F,,0,0,success
Pulsational Instability of Quasi-Stars: Interpreting the Variability of Little Red Dots,2025arXiv251217997C,,0,0,success
First-Principles Formalism for Simulating Self-Interacting Dark Matter,2025arXiv251217998R,,0,0,success
The Clustering of Little Red Dots from Ultra-Strongly Self-Interacting Dark Matter,2025arXiv251218000R,,0,0,success
Time-resolved X-ray spectra of Proxima Centauri as seen by XMM-Newton,2025arXiv251218011D,,0,0,success
Widespread Shocks in an Odd Radio Circle Host Galaxy,2025arXiv251218012C,,0,0,success
Monitoring and Evaluating Astronomy-for-Development Initiatives,2025arXiv251218015M,,2,0,success
Characterization of telecentric dual-etalon Fabry-Pérot systems from observational data. Properties of the CRISP2 instrument at the Swedish 1-m Solar Telescope,2025arXiv251218039D,,0,0,success
Constrained Brownian-bridge prior for neutron-star equation-of-state inference,2025arXiv251218044G,,1,1,success
Designing the Community Infrastructure for ESO's Next Transformational Facility. Equitable Governance and Sustainable Teams for 2040s Astronomy,2025arXiv251218047P,,0,0,success
Precision Spectroscopy for 1.9 Million Galaxies from SDSS-IV: Improved Spectral Measurements and Catalogs for eBOSS,2025arXiv251218076M,,0,0,success
